unnamed: 0,unnamed: 0.2,unnamed: 0.1,group,program,preferred id,facility name,sys loc code,loc name,loc type,latitude,longitude,sys sample code,sample date,medium,matrix,analyte,analyte short name,cas,detect flag,result text,result numeric,unit,lab qualifiers,detect description,method detection limit,reporting detection limit,approval code,fraction,dilution factor,result type code,analytic method,ai id,ai name,address,city,state,zip code,county
22,22,22,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorohexanesulfonic acid,PFHxS,355-46-4,N,<0.93,,ng/L,<,Below Method Detection Limit,0.93,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
23,23,23,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorononanoic acid,PFNA,375-95-1,N,<0.66,,ng/L,<,Below Method Detection Limit,0.66,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
24,24,24,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorononanesulfonic acid,PFNS,68259-12-1,N,<1.67,,ng/L,<,Below Method Detection Limit,1.67,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
25,25,25,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorooctanoic acid,PFOA,335-67-1,Y,5.79,5.79,ng/L,,,0.79,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
26,26,26,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorooctanesulfonic acid,PFOS,1763-23-1,N,<0.87,,ng/L,<,Below Method Detection Limit,0.87,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
27,27,27,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorooctanesulfonamide,PFOSA,754-91-6,N,<0.4,,ng/L,<,Below Method Detection Limit,0.4,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
28,28,28,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluoropentanoic acid,PFPeA,2706-90-3,Y,19.1,19.1,ng/L,,,1.04,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
29,29,29,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluoropentanesulfonic acid,PFPeS,2706-91-4,N,<0.42,,ng/L,<,Below Method Detection Limit,0.42,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
30,30,30,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorotetradecanoic acid,PFTA,376-06-7,N,<1.3,,ng/L,<,Below Method Detection Limit,1.3,5.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
31,31,31,Manufacturing and industrial facilities,Wastewater,MNP067091,ABA Water Systems Inc MNP067091,FA00961,Process water discharge,,44.165288,-92.169358,FA00961.2305031140.000S,5/3/2023,Water,Wtr-Surf,Perfluorotridecanoic acid,PFTrA,72629-94-8,N,<1.76,,ng/L,<,Below Method Detection Limit,1.76,4.0,Prelim,Total,2,TRG,8327,46285,ABA Water Systems Inc,226 W Broadway,Plainview,MN,55964-1254,Wabasha
